0, 200948.9165351494
1, 204838.8153625196
2, 204243.9918519898
3, 204149.0394816233
4, 202886.1474381701
5, 206383.05506945515
6, 205394.6163804211
7, 208227.40931682437
8, 208973.09336138406
9, 209160.81575346433
10, 211898.01159528678
11, 212463.47806546325
12, 212583.4859017496
13, 211973.74000857896
14, 212278.39641927904
15, 211227.85001895385
16, 212231.734068481
17, 212736.82644611265
18, 212049.11026894522
19, 212484.9456627478
20, 212074.9363407001
21, 212453.91072243633
22, 211861.9046971455
23, 212839.74585200142
24, 212454.83528700238
25, 212241.4184352399
26, 212469.68452508422
27, 210542.91390126696
28, 212296.44562384958
29, 212374.96658823942
30, 211978.9674179885
31, 212079.46163253993
32, 212300.3099294902
33, 212359.47646657203
34, 212310.40947157913
35, 212399.2566893914
36, 212323.60622646898
37, 212969.72633727032
38, 213171.52315382962
39, 213158.46621421617
40, 213272.9702977616
41, 213195.0874147716
42, 213254.00969540497
